Review,Price,Quality,Delivery Cost,Packaging,Overall Sentiment
"i have been sick of buying new bottles of name brand cleaner to put in my wetmops so i decided to get this without practice i put entirely too much cleaner in the bottle the first time and made my floor sticky but afterwards using a light mix of fabuloso or pine sol and some vinegar in water has helped keep my floors so much cleaner and at a fraction of the cost

the only nitpick i have is with the water sprayer itself it acts like a cheap spray bottle where i would love if it held pressure for longer and sprayed continuously somehow that said i do not know how you could make a mechanism like that in a mop and keep the price down so pulling the trigger more often is a worthy price to pay",very good,very good,very good,very good,very good
better quality，less expensive！,good,good,-,-,good
i always hated having to buy specific pads and cleaner this was an amazingly low price point and came with extra pads and an extra bottle,bad,-,-,bad,bad
the little container where you the water it cracked and leaking water it broke completely i do not know why i just bought it couple weeks i have not used it just twice sorry to say this i am very disappointed just waist of money,bad,bad,-,bad,bad
we had a swiffer that was ok however when we use this mop what a difference my floors are really clean these pads dont just smear the dirt around they absorb and really clean also so much more economical since you can wash the pads and reuse  spray bottle and cleaner works better too  so glad i found this love,very good,very good,-,very good,very good
this mop is great for quick cleaning  i love the easy way it is to use,-,very good,-,-,very good
this mop is perfect its like a swiffer but better,-,-,-,-,-
great value for this amount of batteries bought these for the local childrens hospital around christmas for the toys given out,very good,-,-,-,very good
good quality product  fast delivery,-,good,good,-,good
always order amazon batteries and ordered these because they are supposed to be better but havent noticed any difference,-,-,-,-,-
nice,-,-,-,-,-
i used to think the play and charge kits would have saved me time and money but they have became more of a hassle in the long run not to s on microsoft by any means but their play and charge kits go bad a year or less the cable that comes with it has an led indicator that only when lit up is when the controller is officially charging which struggles to do so not long after owning it  to make matters worse the battery pack itself will be fully charged then only within 45 hours of usage will the battery become half full or less after dealing with these play and charge kit issues for the past several years i decided to quit lieing to myself forking up 2030 a peice for each play and charge kit and researched brand name bulk of batterys to save even more money because in my opinion the top brand names dont perform any better than store brand after some research i stumbled across these and gave them a chance thats gonna guarantee fully charged battery on demand the main focus was purchasing just the right amount that will last but also not expire which these should last me bare minimum 3 years of no headache,poor,poor,poor,-,poor
